"code","title","cnt_vote","cnt_review_before","cnt_review_after","director_weight","distributor_weight","total"
139700,"굿바이 싱글",6015,1308,5778,2.47864821959247,873.539505936061,256055
101972,"노벰버 맨",991,87,904,7.73375121624099,305.318616119918,252444
57278,"가부와 메이 이야기",1303,118,1271,4.81162229610126,82.2943611365996,251821
122457,"소셜포비아",1815,86,1540,4.78584653285101,115.082362865515,250472
99094,"레고 무비",1489,195,1363,4.70280615695362,478.270420973647,246126
94829,"툼스톤",1463,131,1305,4.63826165861461,27.0199008125865,242748
123050,"창문 넘어 도망친 100세 노인",1687,131,1406,4.6121610710684,10.2087681023714,241382
139674,"순정",2607,1102,2528,4.59450591521722,43.3890685086114,240458
125405,"하늘을 걷는 남자",1615,99,1402,1.26574474481053,212.601759777925,238407
94133,"그레이스 오브 모나코",778,57,665,2.21856904873944,873.539505936061,237219
125802,"비밀은 없다",3211,181,3080,4.52837551002145,696.286931730838,236997
136899,"사냥",7561,397,7424,4.48567066875806,305.318616119918,234762
137908,"닌자터틀 : 어둠의 히어로",1743,454,1700,2.42562543010438,305.318616119918,234539
127328,"극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시",814,279,794,3.73616248996264,305.318616119918,233347
52775,"디센트",3259,59,3241,4.44283207631399,305.318616119918,232520
65998,"원스",6198,117,6031,26.8409130695413,7.03238696134619,229607
136876,"독수리 에디",1511,327,1408,2.41715133744205,394.608711052219,226318
132380,"일곱난쟁이",875,365,853,4.32253244293848,118.984977735045,226224
99724,"한공주",3193,144,2843,4.31022733431494,115.082362865515,225580
134134,"괴물의 아이",1521,131,1347,3.78400242119897,158.471431374126,224849
133223,"노아의 방주: 남겨진 녀석들",573,246,565,4.20721981787158,61.6709806064387,220189
127768,"언프렌디드: 친구삭제",1510,128,1430,4.20154494634799,212.601759777925,219892
70562,"시",1679,49,1634,6.97100835811622,358.482932798446,218898
121047,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",685,93,680,1.40557205056687,72.319978337612,215046
118408,"연애의 맛",1475,98,1372,4.09926350774268,1072.29229321307,214539
118409,"덕수리 5형제",2570,248,2449,4.0273818017772,305.318616119918,210777
68035,"어톤먼트",2009,38,1929,8.15350382042333,212.601759777925,208939
90388,"코알라 키드 : 영웅의 탄생",486,256,484,3.94619483509795,305.318616119918,206528
